generation,train_score,test_score
536,-26.9,89.0
537,-25.7,90.0
538,-30.1,-19.0
539,-58.1,86.0
540,-31.2,93.0
541,17.6,87.0
542,-12.7,91.0
543,-25.0,94.0
544,-38.2,-30.0
545,-13.5,91.0
546,-7.8,77.0
547,-26.3,71.0
548,-20.2,93.0
549,-25.4,103.0
550,-10.7,88.0
551,-24.2,93.0
552,-14.0,93.0
553,-52.8,88.0
554,-25.3,78.0
555,-19.3,76.0
556,-30.4,85.0
557,-9.4,81.0
558,-15.4,77.0
559,-50.6,82.0
560,-37.7,60.0
561,1.7,85.0
562,-21.9,97.0
563,-64.9,83.0
564,-43.2,86.0
565,-50.0,-63.0
566,-27.7,74.0
567,-29.0,79.0
568,-3.6,78.0
569,-28.2,-35.0
570,-53.1,-33.0
571,-28.3,-27.0
572,-64.8,-52.0
573,-56.4,73.0
574,-18.8,78.0
575,-5.1,85.0
576,-23.4,89.0
577,-25.4,88.0
578,-6.7,94.0
579,-43.9,92.0
580,-32.3,-48.0
581,-57.8,90.0
582,-20.1,90.0
583,-30.6,89.0
584,-8.5,93.0
585,-33.9,88.0
586,-12.1,104.0
587,-5.1,104.0
588,-39.1,-28.0
589,-13.7,-76.0
590,-24.2,93.0
591,-16.6,-53.0
592,-23.8,-54.0
593,-42.7,85.0
594,-24.5,100.0
595,-11.8,90.0
596,-48.6,-26.0
597,-46.2,91.0
598,-15.6,96.0
599,-44.2,-29.0
600,-76.3,-29.0
601,-48.2,-22.0
602,-65.4,-32.0
603,-2.5,112.0
604,-3.7,113.0
605,-21.3,98.0
606,-1.2,95.0
607,-1.5,82.0
608,-14.9,84.0
609,10.3,104.0
610,-23.5,94.0
611,-10.0,100.0
612,-24.7,92.0
613,-11.7,98.0
614,-7.6,79.0
615,-18.6,77.0
616,-13.9,75.0
617,-11.4,73.0
618,-24.7,74.0
619,-10.4,100.0
620,-29.2,105.0
621,-20.1,107.0
622,0.3,100.0
623,-12.5,80.0
624,2.6,94.0
